,NORMA OFICIAL MEXICANA VERIFICADA,TIPO DE PRODUCTO,RAZON SOCIAL VISITADA,GIRO COMERCIAL,ENTIDAD,CUMPLIO?
1079,NOM-008-SCFI-2002,BASCULA,CARNICERIA    LA  SANITARIA   JUAN  LUIS  NAPOLES AUDIFRED,CARNICERIA,DISTRITO FEDERAL,True
1080,NOM-010-SCFI-1994,BASCULA,CARNICERIA    LA  SANITARIA   JUAN  LUIS  NAPOLES AUDIFRED,CARNICERIA,DISTRITO FEDERAL,True
1081,NOM-008-SCFI-2002,BASCULA, CARNICERIA  LA  HIGIENICA,CARNICERIA,DISTRITO FEDERAL,True
1082,NOM-010-SCFI-1994,BASCULA, CARNICERIA  LA  HIGIENICA,CARNICERIA,DISTRITO FEDERAL,True
1083,NOM-008-SCFI-2002,BASCULA,CARNICERIA  LA NUEVA  ESPECIAL,CARNICERIA,DISTRITO FEDERAL,True
1084,NOM-010-SCFI-1994,BASCULA,CARNICERIA  LA NUEVA  ESPECIAL,CARNICERIA,DISTRITO FEDERAL,True
1085,NOM-008-SCFI-2002,BASCULA,"INDUSTRIAS DEL MAIZ PUEBLA  S.A. DE C.V. ""TORTILLERIA  REYNA III""",TORTILLERIA,DISTRITO FEDERAL,True
1086,NOM-010-SCFI-1994,BASCULA,"INDUSTRIAS DEL MAIZ PUEBLA  S.A. DE C.V. ""TORTILLERIA  REYNA III""",TORTILLERIA,DISTRITO FEDERAL,True
1087,NOM-008-SCFI-2002,BASCULA,TORTILLERIA ANDY,TORTILLERIA,DISTRITO FEDERAL,True
1088,NOM-010-SCFI-1994,BASCULA,TORTILLERIA ANDY,TORTILLERIA,DISTRITO FEDERAL,True
1089,NOM-008-SCFI-2002,BASCULA,TORTILLERIA  Y/O ROBERTO HERNANDEZ HERNANDEZ,TORTILLERIA,DISTRITO FEDERAL,True
1090,NOM-010-SCFI-1994,BASCULA,TORTILLERIA  Y/O ROBERTO HERNANDEZ HERNANDEZ,TORTILLERIA,DISTRITO FEDERAL,True
1091,NOM-008-SCFI-2002,BASCULA,EL CERRITO MM TORT  S.A. DE C.V.,TORTILLERIA,DISTRITO FEDERAL,True
1092,NOM-010-SCFI-1994,BASCULA,EL CERRITO MM TORT  S.A. DE C.V.,TORTILLERIA,DISTRITO FEDERAL,True
1093,NOM-008-SCFI-2002,BASCULA,TORTILLERIA LOS PRIMOS Y/O FERNANDO  HERNANDEZ RIVERA,TORTILLERIA,DISTRITO FEDERAL,True
1094,NOM-010-SCFI-1994,BASCULA,TORTILLERIA LOS PRIMOS Y/O FERNANDO  HERNANDEZ RIVERA,TORTILLERIA,DISTRITO FEDERAL,True
1095,NOM-008-SCFI-2002,BASCULA,TORTILLERIA AUTOMATICA Y/O  FRANCISCO AVILA GARCIA,TORTILLERIA,DISTRITO FEDERAL,True
1096,NOM-010-SCFI-1994,BASCULA,TORTILLERIA AUTOMATICA Y/O  FRANCISCO AVILA GARCIA,TORTILLERIA,DISTRITO FEDERAL,True
1097,NOM-008-SCFI-2002,BASCULA,TORTILLERIA MARILU    RICARDO CERRILLO  JIMENEZ,TORTILLERIA,DISTRITO FEDERAL,True
